Year,Recipient_Code,Source_Code, Disbursement ,,,,,,CFLI
2017,TD ,1029," 85,780.88 ",,,,,,
2017,TG ,1029," 12,253.17 ",,,,,,
2017,TJ ,1029," 89,598.04 ",,,,,,
2017,TN ,1029," 4,548.22 ",,,,,,
2017,TO ,1029," 19,626.10 ",,,,,,
2017,TR ,1029," 1,036.98 ",,,,,,
2017,TZ ,1029," 320,342.26 ",,,,,,
2017,UG ,1029," 267,978.85 ",,,,,,
2017,UZ ,1029," 29,916.91 ",,,,,,
2017,VN ,1029," 443,717.91 ",,,,,,
2017,ZM ,1029," 223,490.84 ",,,,,,
2017,AF ,1030," 189,827.35 ",,,,,,
2017,AG ,1030," 59,201.55 ",,,,,,
2017,AL ,1030," 152,574.10 ",,,,,,
2017,AM ,1030," 341,646.11 ",,,,,,
2017,AO ,1030," 218,379.72 ",,,,,,
2017,AR ,1030," 486,298.16 ",,,,,,
2017,AZ ,1030," 219,374.60 ",,,,,,
2017,BA ,1030," 162,471.52 ",,,,,,
2017,BD ,1030," 210,110.04 ",,,,,,
2017,BF ,1030," 120,416.10 ",,,,,,
2017,BI ,1030," 68,276.00 ",,,,,,
2017,BJ ,1030," 242,037.68 ",,,,,,
2017,BO ,1030," 346,037.31 ",,,,,,
2017,BR ,1030," 2,047,787.71 ",,,,,,
2017,BT ,1030," 66,325.26 ",,,,,,
2017,BW ,1030," 173,431.44 ",,,,,,
2017,BY ,1030," 310,347.09 ",,,,,,
2017,BZ ,1030," 98,928.67 ",,,,,,
2017,CD ,1030," 365,761.92 ",,,,,,
2017,CF ,1030," 22,183.60 ",,,,,,
2017,CG ,1030," 149,966.69 ",,,,,,
2017,CI ,1030," 248,889.75 ",,,,,,
2017,CK ,1030," 75,332.73 ",,,,,,
2017,CL ,1030," 389,164.09 ",,,,,,
2017,CM ,1030," 355,196.05 ",,,,,,
2017,CN ,1030," 4,430,602.18 ",,,,,,
2017,CO ,1030," 1,014,047.32 ",,,,,,
2017,CR ,1030," 296,367.17 ",,,,,,
2017,CU ,1030," 200,247.41 ",,,,,,
2017,CV ,1030," 116,155.52 ",,,,,,
2017,DJ ,1030," 107,028.32 ",,,,,,
2017,DM ,1030," 96,745.38 ",,,,,,
2017,DO ,1030," 83,301.43 ",,,,,,
2017,DZ ,1030," 163,228.49 ",,,,,,
2017,EC ,1030," 445,529.26 ",,,,,,
2017,EG ,1030," 290,089.60 ",,,,,,
2017,ER ,1030," 114,400.26 ",,,,,,
2017,ET ,1030," 120,429.68 ",,,,,,
2017,FJ ,1030," 123,805.68 ",,,,,,
2017,FM ,1030," 76,238.52 ",,,,,,
2017,GA ,1030," 23,083.79 ",,,,,,
2017,GD ,1030," 49,283.32 ",,,,,,
2017,GE ,1030," 128,926.87 ",,,,,,
2017,GH ,1030," 188,285.70 ",,,,,,
2017,GM ,1030," 134,892.56 ",,,,,,
2017,GN ,1030," 43,041.60 ",,,,,,
2017,GQ ,1030," 56,944.95 ",,,,,,
2017,GT ,1030," 246,937.70 ",,,,,,
2017,GW ,1030," 58,844.81 ",,,,,,
